leaid,zip,state,county_fips,lat,lon
1600165,83864,ID,16017,48.312512,-116.59694
1600166,83333,ID,16013,43.394482,-113.95529
1600167,83858,ID,16055,47.677113,-116.694918
1600169,83221,ID,16011,43.216357,-112.399206
1600170,83462,ID,16059,44.928789,-113.887841
1600171,83642,ID,16001,43.447861,-116.244456
1600172,83823,ID,16057,46.81892,-116.730974
1600173,83815,ID,16055,47.677113,-116.694918
1600174,83616,ID,16001,43.447861,-116.244456
1600175,83402,ID,16019,43.395171,-111.621878
1600176,83204,ID,16005,42.692938,-112.228986
1600177,83202,ID,16005,42.692938,-112.228986
1600178,83705,ID,16001,43.447861,-116.244456
1600179,83642,ID,16001,43.447861,-116.244456
1600180,83631,ID,16015,43.987275,-115.71511
1600181,83714,ID,16001,43.447861,-116.244456
1600182,83634,ID,16001,43.447861,-116.244456
1600183,83686,ID,16027,43.623051,-116.708527
1600184,83835,ID,16055,47.677113,-116.694918
1600240,83261,ID,16007,42.285833,-111.327445
1600270,83221,ID,16011,43.216357,-112.399206
1600300,83333,ID,16013,43.394482,-113.95529
1600330,83314,ID,16047,42.973185,-114.82142
1600360,83709,ID,16001,43.447861,-116.244456
1600420,83805,ID,16021,48.773065,-116.524619
1600450,83604,ID,16073,42.593063,-116.142655
1600480,83316,ID,16083,42.352309,-114.665639
1600490,83213,ID,16023,43.6851,-113.177627
1600510,83605,ID,16027,43.623051,-116.708527
1600540,83327,ID,16025,43.463396,-114.804427
1600570,83610,ID,16087,44.448213,-116.79783
1600600,83607,ID,16027,43.623051,-116.708527
1600630,83611,ID,16085,44.771532,-115.637875
1600660,83318,ID,16031,42.288635,-113.605498
1600690,83321,ID,16083,42.352309,-114.665639
1600720,83226,ID,16037,44.273341,-114.252251
1600750,83423,ID,16033,44.286251,-112.36112
1600780,83814,ID,16055,47.677113,-116.694918
1600810,83522,ID,16049,45.849237,-115.467376
1600815,83851,ID,16009,47.218451,-116.633541
1600840,83612,ID,16003,44.884583,-116.431873
1600870,83524,ID,16069,46.333766,-116.760903
1600900,83324,ID,16063,42.986181,-114.153899
1600930,83401,ID,16019,43.395171,-111.621878
1600960,83263,ID,16041,42.173589,-111.822955
1601020,83617,ID,16045,44.061473,-116.398784
1601050,83328,ID,16083,42.352309,-114.665639
1601080,83236,ID,16011,43.216357,-112.399206
1601110,83445,ID,16043,44.218091,-111.484429
1601140,83619,ID,16075,44.00274,-116.748655
1601170,83622,ID,16015,43.987275,-115.71511
1601200,83832,ID,16057,46.81892,-116.730974
1601230,83623,ID,16039,43.394826,-115.470751
1601260,83330,ID,16047,42.973185,-114.82142
1601290,83241,ID,16029,42.786273,-111.544171
1601380,83332,ID,16047,42.973185,-114.82142
1601410,83334,ID,16083,42.352309,-114.665639
1601440,83523,ID,16061,46.236328,-116.42376
1601470,83628,ID,16073,42.593063,-116.142655
1601500,83629,ID,16015,43.987275,-115.71511
1601530,83401,ID,16019,43.395171,-111.621878
1601570,83442,ID,16051,43.796965,-112.318588
1601590,83338,ID,16053,42.691171,-114.263009
1601620,83536,ID,16049,45.849237,-115.467376
1601650,83837,ID,16079,47.347694,-115.885092
1601680,83537,ID,16057,46.81892,-116.730974
1601710,83341,ID,16083,42.352309,-114.665639
1601740,83833,ID,16055,47.677113,-116.694918
1601770,83634,ID,16001,43.447861,-116.244456
1601800,83858,ID,16055,47.677113,-116.694918
1601830,83540,ID,16069,46.333766,-116.760903
1601860,83501,ID,16069,46.333766,-116.760903
1601900,83251,ID,16037,44.273341,-114.252251
1601920,83440,ID,16065,43.789709,-111.65655
1601950,83214,ID,16005,42.692938,-112.228986
1601980,83639,ID,16073,42.593063,-116.142655
1602030,83638,ID,16085,44.771532,-115.637875
1602060,83654,ID,16003,44.884583,-116.431873
1602070,83641,ID,16027,43.623051,-116.708527
1602100,83642,ID,16001,43.447861,-116.244456
1602130,83644,ID,16027,43.623051,-116.708527
1602160,83645,ID,16087,44.448213,-116.79783
1602190,83350,ID,16067,42.856937,-113.64001
1602220,83843,ID,16057,46.81892,-116.730974
1602250,83647,ID,16039,43.394826,-115.470751
1602280,83846,ID,16079,47.347694,-115.885092
1602310,83344,ID,16083,42.352309,-114.665639
1602340,83686,ID,16027,43.623051,-116.708527
1602370,83655,ID,16075,44.00274,-116.748655
1602400,83543,ID,16061,46.236328,-116.42376
1602430,83217,ID,16029,42.786273,-111.544171
